Exon	Cov_min_total	Cov_max_total	std_median	mean_median	median_median	mad
AMPD1_114673573	1	599	59.8518857426427	264.333333333333	274	53.3736
AMPD1_114673819	1	631	79.8839334231167	330.5625	333	82.65495
AMPD1_114674691	0	527	61.3267286086905	223.145833333333	231.25	60.41595
AMPD1_114675439	5	1001	99.1560659823659	431.739583333333	435.25	86.36145
AMPD1_114675819	0	691	75.890767403734	291.53125	298.75	63.0105
AMPD1_114677261	2	796	91.0104617310754	375.072916666667	380.25	79.3191
AMPD1_114677854	1	609	63.2842568347023	231.333333333333	238	57.0801
AMPD1_114678242	0	1072	80.6508590121467	360.197916666667	357	70.05285
AMPD1_114679522	1	589	63.3212812814189	245.520833333333	261.5	43.36605
AMPD1_114680168	2	1118	108.471524824237	459.135416666667	474	86.36145
AMPD1_114684108	0	851	95.703493024694	360.28125	371.75	93.03315
AMPD1_114686654	0	1196	130.622944433927	513.447916666667	535	106.0059
AMPD1_114688471	0	1039	139.234921497309	573.84375	576.5	146.40675
AMPD1_114693321	2	392	38.6099777989874	152.90625	153.75	27.05745
AMPD1_114695349	1	970	118.409972310415	473.0625	493	110.82435
ANK1_41655464	0	1115	118.511406444472	483.1875	474	113.4189
ANK1_41661175	4	1236	125.698161981518	530.8125	537.25	125.65035
ANK1_41661787	6	862	94.0907000740537	382.1875	396	87.4734
ANK1_41663580	4	1016	112.378405032075	446.15625	448.25	96.73965
ANK1_41668177	6	1276	152.48731926118	617.604166666667	602.25	140.47635
ANK1_41672263	2	1369	182.127125335029	792.947916666667	787	153.07845
ANK1_41684453	4	1491	174.831700987586	704.9375	711.75	206.45205
ANK1_41686096	0	580	66.7463309481163	266.458333333333	271	56.70945
ANK1_41688072	5	1158	133.777973146893	518.416666666667	520.25	124.90905
ANK1_41688430	2	725	79.0093240917787	306.677083333333	301.75	77.0952
ANK1_41690166	4	679	81.0485575658854	336.90625	338	72.6474
ANK1_41690416	1	1184	138.206857744043	563.802083333333	569.25	131.9514
ANK1_41692558	0	1136	145.7025772728	620.90625	635.75	128.2449
ANK1_41693032	3	1033	113.232469229307	477.59375	489.5	97.1103
ANK1_41693808	1	1641	170.415386077833	701.104166666667	717.75	180.1359
ANK1_41694502	5	1468	194.636975403311	776.21875	785.25	205.3401
ANK1_41695086	3	1183	154.590248550187	636.1875	661	147.88935
ANK1_41696272	5	1138	162.435985413545	693.614583333333	718	167.5338
ANK1_41697962	4	1310	143.721786855174	581.822916666667	592.5	144.92415
ANK1_41699379	1	729	82.9979385371615	333.208333333333	346.75	69.6822
ANK1_41701465	1	784	84.670826294271	341.739583333333	351.25	79.68975
ANK1_41701977	1	935	106.762657142403	422.71875	424.75	104.5233
ANK1_41703969	5	1316	144.490887525872	597.729166666667	600.5	138.6231
ANK1_41704303	5	1112	121.123945588952	490.979166666667	490.25	121.20255
ANK1_41706071	5	799	92.2866117357971	390.770833333333	400.75	73.75935
ANK1_41708687	0	1166	162.562425270814	632.520833333333	632	166.42185
ANK1_41714085	0	605	69.2984594700999	269.239583333333	270.5	76.3539
ANK1_41714904	4	946	108.168463776884	436.65625	444	115.27215
ANK1_41715562	2	834	123.342823126617	479.822916666667	482.75	125.65035
ANK1_41716882	3	1014	110.040496655801	439.0625	451.75	90.4386
ANK1_41717532	0	1071	121.658791672908	503.927083333333	511.25	107.4885
ANK1_41718034	2	902	95.6993482121323	408.666666666667	420.5	100.44615
ANK1_41719570	2	936	141.342987028963	543.270833333333	537	126.021
ANK1_41723053	4	1072	119.758444822831	497.5	503	115.27215
ANK1_41723463	3	945	106.134344124132	413.21875	429.5	122.3145
ANK1_41724384	1	1320	150.704298084006	579.541666666667	580.5	163.45665
ANK1_41725671	1	1135	150.847137631901	614.364583333333	641.5	139.73505
ANK1_41727178	2	1168	118.384605813497	509.75	523.25	91.55055
ANK1_41727836	1	1528	160.834557467873	621.229166666667	604.25	151.2252
ANK1_41733899	4	924	94.9389781621231	415.375	423	83.7669
ANK1_41757966	1	1141	123.522451802459	520.958333333333	521.25	124.90905
ANK1_41797421	2	1394	180.199812449722	722.96875	751.5	193.10865
ANKRD26_27005299	2	1139	129.321774435263	439.03125	428.5	104.15265
ANKRD26_27006819	1	950	101.910402085319	337.3125	327.75	87.10275
ANKRD26_27012792	2	1248	183.904842306928	696.84375	726.75	194.59125
ANKRD26_27014394	0	1273	164.730819544496	508.958333333333	493.75	145.2948
ANKRD26_27017412	1	1137	139.644209361983	592.010416666667	608.75	101.5581
ANKRD26_27022501	1	811	95.4160815197766	270.489583333333	247.25	80.8017
ANKRD26_27024383	0	759	92.5396886294265	257.291666666667	248	85.2495
ANKRD26_27028777	1	1240	149.898013497026	456.854166666667	456	146.7774
ANKRD26_27029201	6	1130	118.320964416993	500.145833333333	513.25	116.75475
ANKRD26_27033155	0	1395	117.148016634591	455.291666666667	478	88.58535
ANKRD26_27034645	0	1109	141.902909508404	589.354166666667	613.25	116.3841
ANKRD26_27037133	2	1398	156.682579568528	612.510416666667	656	101.5581
ANKRD26_27037781	0	1334	148.181383469432	509.78125	498.25	140.1057
ANKRD26_27039874	1	1339	176.248756031524	669.90625	700.5	143.0709
ANKRD26_27043358	0	1036	94.3624880156492	396.385416666667	406.5	94.8864
ANKRD26_27044053	0	693	90.0620495076857	214.947916666667	195.5	68.1996
ANKRD26_27046262	2	829	91.176566196607	342.3125	364	81.543
ANKRD26_27048710	0	1205	131.992856817657	508.135416666667	504.5	118.608
ANKRD26_27053234	0	1064	127.115668482524	393.770833333333	380	132.6927
ANKRD26_27060255	2	816	91.7339952608891	291.958333333333	273.5	69.6822
ANKRD26_27061073	1	874	87.3127555814959	336.3125	347.25	81.543
ANKRD26_27063913	2	1240	132.980787936101	523.90625	536.75	109.7124
ANKRD26_27066397	0	1087	94.9149809702802	375.447916666667	369	81.543
ANKRD26_27067101	2	1352	133.300432554245	526.625	540.25	122.3145
ANKRD26_27077247	2	1165	138.403624903847	565.020833333333	586	123.7971
ANKRD26_27079005	3	1185	138.242611026941	488.791666666667	514	118.23735
ANKRD26_27082697	0	785	85.2882933015474	255.802083333333	229.75	72.6474
ANKRD26_27086454	0	843	93.6581742966873	323.552083333333	311.75	98.96355
ANKRD26_27092339	1	903	97.749263115976	351.333333333333	363	80.0604
ANKRD26_27093259	0	1042	122.954539182877	512.729166666667	523.25	107.4885
ANKRD26_27093621	0	636	67.9583327897865	283.010416666667	294	62.63985
ANKRD26_27099995	0	1180	184.19905657298	714.822916666667	778	137.8818
